"","name","id","name_type","class","mass","fall","year","lat","long","geolocation","housenumber","street","city","state","zip","country"
"1017","Ufana",24106,"Valid","EL6",189.2,"Fell",1957,-4.26667,35.35,"(-4.26667, 35.35)","House Number Not Found","Street Not Found","Ufana","Manyara","Postcode Not Found","Tanzania"
"1018","Ulmiz",24108,"Valid","L",76.5,"Fell",1926,46.93333,7.21667,"(46.93333, 7.21667)","House Number Not Found","Street Not Found","Ulmiz","Fribourg","3214","Switzerland"
"1019","Umbala",24112,"Valid","LL5",100,"Fell",1822,30.33333,76.33333,"(30.33333, 76.33333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1020","Umm Ruaba",24118,"Valid","L5",1700,"Fell",1966,13.46667,31.21667,"(13.46667, 31.21667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1021","Undulung",24121,"Valid","L4",113.4,"Fell",1986,66.13889,124.76667,"(66.13889, 124.76667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1022","Unkoku",24123,"Valid","OC",1000,"Fell",1924,34.8,127,"(34.8, 127.0)","House Number Not Found","Street Not Found","Jangheung-gun","Jeollanam-do","Postcode Not Found","South Korea"
"1023","Urasaki",24129,"Valid","Stone-uncl",1500,"Fell",1926,34.48333,133.28333,"(34.48333, 133.28333)","House Number Not Found","Street Not Found","Fukuyama","Hiroshima Prefecture","720-0838","Japan"
"1024","Usti Nad Orlici",24132,"Valid","L6",1269,"Fell",1963,49.975,16.375,"(49.975, 16.375)","129","Sokolská","Ústí nad Orlicí","Northeast","56204","Czech Republic"
"1025","Utrecht",24135,"Valid","L6",9700,"Fell",1843,52.11667,5.18333,"(52.11667, 5.18333)","House Number Not Found","Street Not Found","De Bilt","Utrecht","3721WV","The Netherlands"
"1026","Utzenstorf",24136,"Valid","H5",3422,"Fell",1928,47.11667,7.55,"(47.11667, 7.55)","House Number Not Found","Street Not Found","Utzenstorf","Bern","3427","Switzerland"
"1027","Vago",24143,"Valid","H6",40,"Fell",1668,45.41667,11.13333,"(45.41667, 11.13333)","House Number Not Found","Street Not Found","Lavagno","Veneto","37042","Italy"
"1028","Valdavur",24144,"Valid","H6",2799,"Fell",1944,11.98333,79.75,"(11.98333, 79.75)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1029","Valdinizza",24145,"Valid","L6",1004,"Fell",1903,44.86667,9.15,"(44.86667, 9.15)","House Number Not Found","Street Not Found","City Not Found","Lombardy","Postcode Not Found","Italy"
"1030","Valdinoce",24146,"Valid","Stone-uncl",NA,"Fell",1495,44.06667,12.1,"(44.06667, 12.1)","6","Via Valdinoce centro","Meldola","Emilia-Romagna","47014","Italy"
"1031","Valera",24149,"Valid","L5",50000,"Fell",1972,9.31667,-70.62833,"(9.31667, -70.62833)","House Number Not Found","Street Not Found","Valera","Trujillo","3101","Venezuela"
"1032","Varre-Sai",53633,"Valid","L5",2500,"Fell",2010,-20.85001,-41.73356,"(-20.85001, -41.73356)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1033","Vavilovka",24154,"Valid","LL6",1932,"Fell",1876,46.15,32.83333,"(46.15, 32.83333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1034","Vengerovo",24158,"Valid","H5",10800,"Fell",1950,56.13333,77.26667,"(56.13333, 77.26667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1035","Veramin",24162,"Valid","Mesosiderite-B2",54000,"Fell",1880,35.33333,51.63333,"(35.33333, 51.63333)","House Number Not Found","Street Not Found","<U+0628><U+0647><U+0646><U+0627><U+0645> <U+067E><U+0627><U+0632><U+0648><U+06A9><U+06CC> <U+062C><U+0646><U+0648><U+0628><U+06CC>","Tehran Province","009821","Iran"
"1036","Verkhne Tschirskaia",24165,"Valid","H5",8000,"Fell",1843,48.41667,43.2,"(48.41667, 43.2)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1037","Vernon County",24168,"Valid","H6",1500,"Fell",1865,43.5,-91.16667,"(43.5, -91.16667)","House Number Not Found","Street Not Found","Red Mound","Wisconsin","54624","United States of America"
"1038","Vetluga",24169,"Valid","Eucrite-mmict",750,"Fell",1949,57.8,45.8,"(57.8, 45.8)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1039","Vigarano",24174,"Valid","CV3",15000,"Fell",1910,44.85,11.4,"(44.85, 11.4)","251","Via Consorziale","Bondeno","Emilia-Romagna","44012","Italy"
"1040","Villalbeto de la Peña",24179,"Valid","L6",3500,"Fell",2004,42.8,-4.66667,"(42.8, -4.66667)","House Number Not Found","Street Not Found","Santibáñez de la Peña","Castile and León","Postcode Not Found","Spain"
"1041","Villarrica",24181,"Valid","Stone-uncl",NA,"Fell",1925,-25.83333,-56.5,"(-25.83333, -56.5)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1042","Vilna",24183,"Valid","L5",0.1,"Fell",1967,54.225,-111.69167,"(54.225, -111.69167)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1043","Virba",24185,"Valid","L6",3600,"Fell",1873,43.53333,22.63333,"(43.53333, 22.63333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Bulgaria"
"1044","Vishnupur",24187,"Valid","LL4-6",2437,"Fell",1906,23.1,87.43333,"(23.1, 87.43333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1045","Vissannapeta",24188,"Valid","Eucrite-cm",1303.8,"Fell",1997,16.83333,80.75,"(16.83333, 80.75)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1046","Visuni",24189,"Valid","H6",594,"Fell",1915,25.45,70,"(25.45, 70.0)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1047","Vouillé",24191,"Valid","L6",20000,"Fell",1831,46.63333,0.16667,"(46.63333, 0.16667)","House Number Not Found","Street Not Found","Vouillé","New Aquitaine","86190","France"
"1048","Walters",24210,"Valid","L6",28100,"Fell",1946,34.33333,-98.3,"(34.33333, -98.3)","House Number Not Found","Street Not Found","City Not Found","Oklahoma","73572","United States of America"
"1049","Warrenton",24215,"Valid","CO3.7",1600,"Fell",1877,38.68333,-91.15,"(38.68333, -91.15)","House Number Not Found","Street Not Found","Hopewell","Missouri","Postcode Not Found","United States of America"
"1050","Washougal",24218,"Valid","Howardite",225,"Fell",1939,45.58333,-122.35,"(45.58333, -122.35)","House Number Not Found","E Street","Washougal","Washington","98671","United States of America"
"1051","Werdama",47344,"Valid","H5",4000,"Fell",2006,32.79732,21.78713,"(32.79732, 21.78713)","House Number Not Found","<U+0645><U+0633><U+0647>-<U+0634><U+062D><U+0627><U+062A> Shahhat-Massah","Mansurah","Jabal al Akhdar","Postcode Not Found","Libya"
"1052","Wessely",24244,"Valid","H5",3750,"Fell",1831,48.95,17.38333,"(48.95, 17.38333)","House Number Not Found","tr. Masarykova","Veselí nad Moravou","Southeast","69801","Czech Republic"
"1053","Weston",24249,"Valid","H4",150000,"Fell",1807,41.266667,-73.266667,"(41.266667, -73.266667)","House Number Not Found","Street Not Found","Rock Raymond","Connecticut","06612","United States of America"
"1054","Wethersfield (1971)",24250,"Valid","L6",350,"Fell",1971,41.7,-72.65,"(41.7, -72.65)","House Number Not Found","Street Not Found","Town of Wethersfield","Connecticut","06109","United States of America"
"1055","Wethersfield (1982)",24251,"Valid","L6",2756,"Fell",1982,41.71056,-72.67361,"(41.71056, -72.67361)","441","Wolcott Hill Road","Town of Wethersfield","Connecticut","06109","United States of America"
"1056","Whetstone Mountains",49514,"Valid","H5",2138.74,"Fell",2009,31.96185,-110.434183,"(31.96185, -110.434183)","House Number Not Found","Street Not Found","City Not Found","Arizona","Postcode Not Found","United States of America"
"1057","Wiluna",24281,"Valid","H5",150000,"Fell",1967,-26.59278,120.32833,"(-26.59278, 120.32833)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1058","Witklip Farm",24321,"Valid","H5",22,"Fell",1918,-26,30,"(-26.0, 30.0)","House Number Not Found","Street Not Found","Albert Luthuli Local Municipality","Mpumalanga","1185","South Africa"
"1059","Witsand Farm",24322,"Valid","LL4",66,"Fell",1932,-28.66667,18.91667,"(-28.66667, 18.91667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"1060","Wittekrantz",24323,"Valid","L5",2200,"Fell",1880,-32.5,23,"(-32.5, 23.0)","House Number Not Found","Street Not Found","Beaufort West Local Municipality","Western Cape","6970","South Africa"
"1061","Wolamo",24324,"Valid","OC",166.4,"Fell",1964,9,39,"(9.0, 39.0)","House Number Not Found","Street Not Found","City Not Found","Oromia Region","Postcode Not Found","Ethiopia"
